head,head_type,relation,tail,tail_type,source
102030脂肪乳注射液,西药,不良反应,呼吸急促,症状,medical_kg
18种氨基酸注射液,西药,不良反应,胸闷,症状,medical_kg
23价肺炎球菌多糖疫苗,西药,成份,0.25%苯酚作防腐剂,药物,medical_kg
23价肺炎球菌多糖疫苗,西药,英文名称,23—valent pneumococcal polysaccharide vaccine,药物,medical_kg
23价肺炎球菌多糖疫苗,西药,药品分类,乙类otc,其他治疗,medical_kg
23价肺炎球菌多糖疫苗,西药,成份,23价肺炎球菌多糖,药物,medical_kg
23价肺炎球菌多糖疫苗,西药,商品名,优博23,西药,medical_kg
23价肺炎球菌多糖疫苗,西药,英文名称,pneumococcal vaccine polyvalent,药物,medical_kg
23价肺炎球菌多糖疫苗,西药,英文名称,polysaccharide polyvalent pneumococcal vaccine,药物,medical_kg
23价肺炎球菌多糖疫苗,西药,适应症,呼吸道感染,疾病,medical_kg
23价肺炎球菌多糖疫苗,西药,药品监管分级,国家基本用药； 医保药品,其他治疗,medical_kg
23价肺炎球菌多糖疫苗,西药,不良反应,寒战,症状,medical_kg
23价肺炎球菌多糖疫苗,西药,成份,有：活性成份：纯化肺炎球菌荚膜多糖：1,药物,medical_kg
23价肺炎球菌多糖疫苗,西药,成份,氯化钠,药物,medical_kg
23价肺炎球菌多糖疫苗,西药,商品名,惠益康,西药,medical_kg
23价肺炎球菌多糖疫苗,西药,成份,分离,药物,medical_kg
23价肺炎球菌多糖疫苗,西药,不良反应,发热,症状,medical_kg
23价肺炎球菌多糖疫苗,西药,适应症,感染,疾病,medical_kg
23价肺炎球菌多糖疫苗,西药,药品分类,甲类otc,其他治疗,medical_kg
23价肺炎球菌多糖疫苗,西药,分类,疫苗,其他治疗,medical_kg
23价肺炎球菌多糖疫苗,西药,成份,磷,药物,medical_kg
23价肺炎球菌多糖疫苗,西药,成份,磷酸一钠,药物,medical_kg
23价肺炎球菌多糖疫苗,西药,成份,糖,药物,medical_kg
23价肺炎球菌多糖疫苗,西药,商品名,纽莫法,西药,medical_kg
23价肺炎球菌多糖疫苗,西药,成份,磷酸二钠,药物,medical_kg
23价肺炎球菌多糖疫苗,西药,适应症,肺炎,疾病,medical_kg
23价肺炎球菌多糖疫苗,西药,不良反应,血管神经性水肿,症状,medical_kg
23价肺炎球菌多糖疫苗,西药,成份,苯酚,药物,medical_kg
23价肺炎球菌多糖疫苗,西药,不良反应,过敏反应,症状,medical_kg
23价肺炎球菌多糖疫苗,西药,不良反应,过敏,症状,medical_kg
23价肺炎球菌多糖疫苗,西药,不良反应,过敏样反应,症状,medical_kg
23价肺炎球菌多糖疫苗注射液,西药,适应症,感染,疾病,medical_kg
23价肺炎球菌多糖疫苗注射液,西药,不良反应,头痛,症状,medical_kg
23价肺炎球菌多糖疫苗注射液,西药,药品分类,甲类otc,其他治疗,medical_kg
23价肺炎球菌多糖疫苗注射液,西药,不良反应,发热,症状,medical_kg
23价肺炎球菌多糖疫苗注射液,西药,成份,糖,药物,medical_kg
23价肺炎球菌多糖疫苗注射液,西药,药品监管分级,国家基本用药； 医保药品,其他治疗,medical_kg
23价肺炎球菌多糖疫苗注射液,西药,商品名,纽莫法,西药,medical_kg
23价肺炎球菌多糖疫苗注射液,西药,适应症,肺炎,疾病,medical_kg
23价肺炎球菌多糖疫苗注射液,西药,不良反应,肌痛,症状,medical_kg
23价肺炎球菌多糖疫苗注射液,西药,不良反应,肌痛神经系统头痛,症状,medical_kg
23价肺炎球菌多糖疫苗注射液,西药,成份,肺炎球菌多糖疫苗,药物,medical_kg
23价肺炎球菌多糖疫苗注射液,西药,不良反应,荨麻疹,疾病,medical_kg
23价肺炎球菌多糖疫苗注射液,西药,不良反应,过敏,症状,medical_kg
23价肺炎球菌多糖疫苗注射液,西药,不良反应,血管神经性水肿,症状,medical_kg
23价肺炎球菌多糖疫苗注射液,西药,不良反应,过敏反应,症状,medical_kg
64排螺旋ct检查,诊疗技术及设备,临床表现,刺痛,症状,medical_kg
64排螺旋ct检查,诊疗技术及设备,相关疾病,结节病,疾病,medical_kg
64排螺旋ct检查,诊疗技术及设备,分类,计算机体层摄影ct检查,其他治疗,medical_kg
6542,西药,成份,消旋山莨菪碱,药物,medical_kg
6542,西药,分类,叔胺基酯类合成抗胆碱药,其他治疗,medical_kg
707,中成药,分类,益气/其他中成药,其他治疗,medical_kg
999,西药,适应症,呼吸道感染,疾病,medical_kg
av综合征,疾病,同义词,a—v现象,疾病,medical_kg
a组链球菌感染,疾病,发病部位,呼吸道,部位,medical_kg
a组链球菌感染,疾病,同义词,化脓性链球菌感染,疾病,medical_kg
bp素,西药,不良反应,胸闷,症状,medical_kg
b型流感嗜血杆菌结合疫苗,西药,不良反应,呼吸暂停,症状,medical_kg
b型流感嗜血杆菌结合疫苗,西药,适应症,肺炎,疾病,medical_kg
b型流感嗜血杆菌结合菌苗注射液,西药,不良反应,低热,症状,medical_kg
b型流感嗜血杆菌结合菌苗注射液,西药,药品分类,乙类otc,其他治疗,medical_kg
