source,source_type,relation,sub_relation,target,target_type,source_table
10%、20%、30%脂肪乳注射液,西药,不良反应,,呼吸急促,,
18种氨基酸注射液,西药,不良反应,,胸闷,,
23—价肺炎球菌多糖疫苗,西药,成份,,0.25%苯酚作防腐剂,,
23—价肺炎球菌多糖疫苗,西药,英文名称,,23—Valent pneumococcal polysaccharide vaccine,,
23—价肺炎球菌多糖疫苗,西药,OTC类型,,乙类OTC,,
23—价肺炎球菌多糖疫苗,西药,成份,,23价肺炎球菌多糖,,
23—价肺炎球菌多糖疫苗,西药,商品名,,优博23,西药,
23—价肺炎球菌多糖疫苗,西药,英文名称,,Pneumococcal Vaccine Polyvalent,,
23—价肺炎球菌多糖疫苗,西药,英文名称,,Polysaccharide polyvalent Pneumococcal Vaccine,,
23—价肺炎球菌多糖疫苗,西药,适应症,,呼吸道感染,,
23—价肺炎球菌多糖疫苗,西药,药品监管分级,,国家基本用药； 医保药品,,
23—价肺炎球菌多糖疫苗,西药,不良反应,,寒战,,
23—价肺炎球菌多糖疫苗,西药,成份,,有：活性成份：纯化肺炎球菌荚膜多糖：1,,
23—价肺炎球菌多糖疫苗,西药,成份,,氯化钠,,
23—价肺炎球菌多糖疫苗,西药,商品名,,惠益康,西药,
23—价肺炎球菌多糖疫苗,西药,成份,,分离,,
23—价肺炎球菌多糖疫苗,西药,不良反应,,发热,,
23—价肺炎球菌多糖疫苗,西药,适应症,,感染,疾病,
23—价肺炎球菌多糖疫苗,西药,OTC类型,,甲类OTC,,
23—价肺炎球菌多糖疫苗,西药,分类,,疫苗,,
23—价肺炎球菌多糖疫苗,西药,成份,,磷,,
23—价肺炎球菌多糖疫苗,西药,成份,,磷酸一钠,,
23—价肺炎球菌多糖疫苗,西药,成份,,糖,,
23—价肺炎球菌多糖疫苗,西药,商品名,,纽莫法,西药,
23—价肺炎球菌多糖疫苗,西药,成份,,磷酸二钠,,
23—价肺炎球菌多糖疫苗,西药,适应症,,肺炎,疾病,
23—价肺炎球菌多糖疫苗,西药,不良反应,,血管神经性水肿,,
23—价肺炎球菌多糖疫苗,西药,成份,,苯酚,,
23—价肺炎球菌多糖疫苗,西药,不良反应,,过敏反应,,
23—价肺炎球菌多糖疫苗,西药,不良反应,,过敏,,
23—价肺炎球菌多糖疫苗,西药,不良反应,,过敏样反应,,
23价肺炎球菌多糖疫苗注射液,西药,适应症,,感染,疾病,
23价肺炎球菌多糖疫苗注射液,西药,不良反应,,头痛,,
23价肺炎球菌多糖疫苗注射液,西药,OTC类型,,甲类OTC,,
23价肺炎球菌多糖疫苗注射液,西药,不良反应,,发热,,
23价肺炎球菌多糖疫苗注射液,西药,成份,,糖,,
23价肺炎球菌多糖疫苗注射液,西药,药品监管分级,,国家基本用药； 医保药品,,
23价肺炎球菌多糖疫苗注射液,西药,商品名,,纽莫法,西药,
23价肺炎球菌多糖疫苗注射液,西药,适应症,,肺炎,疾病,
23价肺炎球菌多糖疫苗注射液,西药,不良反应,,肌痛,,
